Date,Boro,Vol
2000-01-01,Manhattan,20228.0
2000-01-01,Staten Island,9176.0
2000-01-02,Manhattan,19119.0
2000-01-02,Staten Island,9897.0
2000-01-03,Manhattan,14290.0
2000-01-03,Staten Island,8462.0
2000-01-04,Manhattan,16669.0
2000-01-04,Staten Island,7602.0
2000-01-05,Manhattan,17919.0
2000-01-05,Staten Island,8768.0
2000-01-06,Manhattan,18345.0
2000-01-06,Staten Island,8990.0
2000-01-07,Manhattan,19281.0
2000-01-07,Staten Island,9110.0
2000-01-08,Manhattan,19431.0
2000-01-08,Staten Island,9134.0
2000-01-09,Staten Island,8270.0
2000-01-10,Staten Island,6903.0
2000-01-11,Staten Island,6078.0
2000-01-12,Staten Island,6090.0
2006-09-05,Manhattan,19478.0
2006-09-06,Manhattan,33384.0
2006-09-07,Manhattan,34587.0
2006-09-08,Manhattan,36211.0
2006-09-09,Manhattan,34737.0
2006-09-10,Manhattan,30075.0
2006-09-11,Manhattan,34308.0
2006-09-12,Manhattan,33700.0
2006-09-13,Manhattan,32603.0
2006-09-14,Manhattan,32807.0
2006-09-15,Manhattan,34540.0
2006-09-16,Manhattan,37526.0
2006-09-17,Manhattan,32656.0
2006-09-18,Manhattan,10271.0
2006-11-04,Manhattan,19631.0
2006-11-05,Manhattan,28657.0
2006-11-06,Manhattan,1398.0
2007-03-10,Bronx,5772.0
2007-03-11,Bronx,1767.0
2007-03-12,Bronx,6199.0
2007-03-13,Bronx,7106.0
2007-03-14,Bronx,7997.0
2007-03-15,Bronx,7880.0
2007-03-16,Bronx,5268.0
2007-03-17,Bronx,0.0
2007-03-18,Bronx,3.0
2007-03-19,Bronx,5414.0
2007-03-20,Bronx,7717.0
2007-03-21,Bronx,7646.0
2007-03-22,Bronx,8025.0
2007-03-23,Bronx,7372.0
2007-03-24,Bronx,7835.0
2007-03-25,Bronx,7345.0
2007-03-26,Bronx,6692.0
2007-03-27,Bronx,1457.0
2007-03-28,Bronx,6132.0
2007-03-29,Bronx,7797.0
2007-03-30,Bronx,8118.0
2007-03-31,Bronx,2000.0
2007-04-02,Brooklyn,7561.0
